0
A. B. de Villiers
Aamer Hameed
Aamer Hanif
Aamer Malik
Aamer Nazir
Aamer Sohail
Aamer Yamin
Aaqib Javed
Aarif Sheikh
Aaron Finch
Aaron Jones
Aaron Phangiso
Aaron Redmond
Aashish Kapoor
Aasif Karim
Aavishkar Salvi
Abdool Samad
Abdul Jabbar
Abdul Qadir
Abdul Razzaq
Abdul Rehman
Abdul Shakoor
Abdul Waheed
Abdullah Mazari
Abdur Rauf
Abdur Razzak
Abdur Rehman
Abdur Sattaur
Abey Kuruvilla
Abhijit Kale
Abhimanyu Mithun
Abhishek Nayar
Abid Ali
Abraham de Villiers
Abu Hider
Abu Jayed
Abul Hasan
Adam Bacher
Adam Dale
Adam Gilchrist
Adam Hollioake
Adam Huckle
Adam Milne
Adam Parore
Adam Voges
Adam Zampa
Adeel Raja
Adil Rashid
Adnan Akmal
Adnan Mufti
Adrian Barath
Adrian Griffith
Adrian Kuiper
Afsar Zazai
Aftab Ahmed
Aftab Alam
Aftab Shamshudeen
Afzaal Haider
Ahmed Kamal
Ahmed Raza
Ahmed Shah
Ahmed Shehzad
Ahsan Malik
Aiden Markram
Aijaz Ali
Aizaz Cheema
Aizaz Khan
Ajantha Mendis
Ajay Jadeja
Ajay Ratra
Ajay Sharma
Ajinkya Rahane
Ajit Wadekar
Ajit de Silva
Ajith Weerakkody
Ajmal Shahzad
Akalanka Ganegama
Akhtar Sarfraz
Akila Dananjaya
Akram Khan
Akram Raza
Al-Amin Hossain
Al Mohammad Moniruzzaman
Al Sahariar
Alan Butcher
Alan Connolly
Alan Dawson
Alan Hurst
Alan Igglesden
Alan Knott
Alan Mullally
Alan Thomson
Alan Turner
Alan Wells
Alasdair Evans
Alastair Cook
Alawi Shukri
Albert van der Merwe
Albie Morkel
Aldesh Vadher
Alec Davies
Alec Stewart
Alei Nao
Alester Maregwede
Alex Carey
Alex Cusack
Alex Hales
Alex Loudon
Alex Obanda
Alex Tait
Alex Tudor
Alex Wharf
Alexander French
Alexei Kervezee
Alfred Luseno
Ali Asad Abbas
Ali Brown
Ali Khan
Ali Shah
Alistair Campbell
Allan Border
Allan Donald
Allan Lamb
Alok Kapali
Alvin Greenidge
Alvin Kallicharran
Alviro Petersen
Alzarri Joseph
Amal Silva
